initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,500000,500000,20,84.8215,107.253,101.481,140.836,
1000000,1000000,1000000,20,86.6719,104.374,100.88,161.628,
1000000,1500000,1500000,20,89.6311,118.122,99.7444,216.302,
1000000,2000000,2000000,20,92.0881,121.427,103.301,229.191,
1000000,2500000,2500000,20,85.148,128.337,101.85,204.721,
1000000,3000000,3000000,20,90.9538,125.133,95.3204,239.899,
1000000,3500000,3500000,20,91.4988,128.652,99.5522,223.663,
1000000,4000000,4000000,20,93.6019,129.506,94.276,218.504,
1000000,4500000,4500000,20,89.4857,134.15,98.265,221.156,
1000000,5000000,5000000,20,93.2502,134.644,99.2724,237.996,
1000000,5500000,5500000,20,90.9598,133.182,102.316,229.771,
1000000,6000000,6000000,20,92.3149,132.859,98.0066,235.299,
1000000,6500000,6500000,20,92.4167,137.331,100.491,233.102,
1000000,7000000,7000000,20,85.751,135.758,100.9,241.413,
1000000,7500000,7500000,20,89.5222,135.052,107.707,241.786,
1000000,8000000,8000000,20,85.6206,138.181,99.0504,229.438,
1000000,8500000,8500000,20,87.732,138.125,102.427,237.723,
1000000,9000000,9000000,20,85.2517,137.998,97.3938,246.356,
1000000,9500000,9500000,20,89.8075,137.236,99.6635,242.046,
1000000,10000000,10000000,20,92.4123,136.914,97.1342,237.538,
1000000,10500000,10500000,20,94.1782,135.455,92.3145,240.267,
1000000,11000000,11000000,20,91.364,137.377,98.5998,240.093,
1000000,11500000,11500000,20,90.9378,137.998,92.4556,243.977,
1000000,12000000,12000000,20,90.1141,138.995,97.7124,240.19,
1000000,12500000,12500000,20,86.7828,140.206,100.111,251.389,
1000000,13000000,13000000,20,87.9739,138.055,98.265,239.141,
1000000,13500000,13500000,20,89.5366,137.878,97.0897,244.06,
1000000,14000000,14000000,20,92.3856,139.602,105.221,243.951,
1000000,14500000,14500000,20,86.2554,138.956,94.77,239.339,
1000000,15000000,15000000,20,90.7518,138.549,100.392,243.923,
1000000,15500000,15500000,20,86.6115,138.02,100.723,248.41,
1000000,16000000,16000000,20,85.0798,140.88,93.0179,245.722,
1000000,16500000,16500000,20,88.6185,140.018,105.001,244.207,
1000000,17000000,17000000,20,88.8051,138.803,98.711,245.816,
1000000,17500000,17500000,20,90.5789,139.591,93.4335,243.515,
1000000,18000000,18000000,20,88.7453,141.299,97.054,244.147,
1000000,18500000,18500000,20,90.7784,141.596,99.6142,247.251,
1000000,19000000,19000000,20,86.032,139.455,99.6848,248.62,
1000000,19500000,19500000,20,88.6861,141.253,96.9808,248.63,
1000000,20000000,20000000,20,91.3785,141.915,95.6898,245.233,
1000000,20500000,20500000,20,82.9839,140.846,96.8087,248.416,
1000000,21000000,21000000,20,85.5119,141.429,99.0398,241.62,
1000000,21500000,21500000,20,91.187,141.774,101.259,245.816,
1000000,22000000,22000000,20,93.0729,141.132,101.205,244.166,
1000000,22500000,22500000,20,92.8936,141.903,99.5492,247.951,
