initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,50000,950000,20,259.335,217.833,290.505,252.288,
45000000,100000,1900000,20,260.188,355.608,291.436,398.806,
45000000,150000,2850000,20,259.049,363.568,287.97,412.512,
45000000,200000,3800000,20,260.307,362.401,290.256,431.435,
45000000,250000,4750000,20,257.554,356.678,289.812,425.058,
45000000,300000,5700000,20,257.198,347.113,290.855,445.366,
45000000,350000,6650000,20,258.761,360.076,288.594,438.666,
45000000,400000,7600000,20,258.845,368.686,290.936,456.566,
45000000,450000,8550000,20,257.869,375.41,287.625,420.915,
45000000,500000,9500000,20,259.365,365.803,290.194,440.265,
45000000,550000,10450000,20,258.125,368.482,288.021,449.182,
45000000,600000,11400000,20,258.392,362.384,287.75,420.796,
45000000,650000,12350000,20,257.682,372.563,286.721,433.598,
45000000,700000,13300000,20,258.338,374.396,286.68,456.747,
45000000,750000,14250000,20,258.632,368.293,289.649,443.485,
45000000,800000,15200000,20,258.898,379.477,289.464,448.705,
45000000,850000,16150000,20,257.187,365.97,284.801,424.888,
45000000,900000,17100000,20,259.842,377.447,288.754,441.932,
45000000,950000,18050000,20,258.945,376.476,289.868,444.472,
45000000,1000000,19000000,20,258.42,381.891,288.596,438.838,
45000000,1050000,19950000,20,258.738,384.806,286.682,417.6,
45000000,1100000,20900000,20,255.715,371.98,287.488,443.191,
45000000,1150000,21850000,20,258.765,383.506,289.333,437.08,
45000000,1200000,22800000,20,259.469,385.958,289.637,435.048,
45000000,1250000,23750000,20,258.794,379.882,289.154,438.618,
45000000,1300000,24700000,20,259.33,379.971,290.624,452.527,
45000000,1350000,25650000,20,257.391,380.773,287.439,453.094,
45000000,1400000,26600000,20,259.641,376.513,290.232,449.493,
45000000,1450000,27550000,20,258.742,377.596,289.039,450.236,
45000000,1500000,28500000,20,258.793,383.897,289.598,436.031,
45000000,1550000,29450000,20,258.819,377.752,289.282,441.143,
45000000,1600000,30400000,20,260.177,373.662,289.821,455.39,
45000000,1650000,31350000,20,260.341,384.354,291.152,448.483,
45000000,1700000,32300000,20,259.509,383.645,290.387,462.666,
45000000,1750000,33250000,20,256.883,381.361,288.161,459.301,
45000000,1800000,34200000,20,260.556,389.111,288.503,448.195,
45000000,1850000,35150000,20,258.663,388.533,288.781,455.305,
45000000,1900000,36100000,20,257.215,387.894,288.585,437.65,
45000000,1950000,37050000,20,259.329,381.383,289.877,443.437,
45000000,2000000,38000000,20,257.317,381.756,287.758,446.795,
45000000,2050000,38950000,20,255.37,372.361,288.066,458.435,
45000000,2100000,39900000,20,257.91,389.094,287.694,437.683,
45000000,2150000,40850000,20,257.265,384.74,286.057,436.505,
45000000,2200000,41800000,20,259.648,390.899,290.519,456.883,
45000000,2250000,42750000,20,258.949,393.557,287.098,433.984,
